GID,"Last, First",First  Last,Date,Team,Opp,H/A,GameID,GTime(ET),Team pts,Opp pts,Start,Minutes,GP,active,FDP,DKP,DDP,YHP,Stats,DoubleD,TripleD,FD Sal,FD Change,DK Sal,DK Change,DD Sal,DD Change,YH Sal,YH Change,FD pos,DK pos,DD pos,YH pos
3816,"Williams, Louis",Louis Williams,20171024,lac,uta,H,20171024-uta-lac,22.5,102,84,0,18.88333333,1,1,19.4,19.5,18.25,19.4,9pt 2rb 4as 1st 1to 1trey 3-10fg 2-2ft,0,0,5500,600,4900,-400,,,14,0,2,12,,2
3816,"Williams, Louis",Louis Williams,20171021,lac,pho,H,20171021-pho-lac,22.5,130,88,0,24.21666667,1,1,29.6,31.25,30.5,29.6,18pt 3rb 6as 1to 2trey 7-13fg 2-3ft,0,0,4900,200,5300,300,,,14,3,2,12,,2
3816,"Williams, Louis",Louis Williams,20171019,lac,lal,A,20171019-lac-lal,22.5,108,92,0,24.68333333,1,1,28.6,28.25,27,28.6,12pt 3rb 6as 2st 2to 1trey 5-12fg 1-1ft,0,0,4700,,5000,,,,11,,2,12,,2
5006,"Baker, Ron",Ron Baker,20180126,nyk,pho,A,20180126-nyk-pho,21,107,85,0,4.016666667,1,1,5.1,5.25,5.25,5.1,0pt 3rb 1as,0,0,3500,0,3000,0,,,10,0,1,12,,1
5006,"Baker, Ron",Ron Baker,20180125,nyk,den,A,20180125-nyk-den,21,118,130,1,12.05,1,1,5.9,5.5,5.5,5.9,0pt 2rb 1as 1bl 1to,0,0,3500,0,3000,0,,,10,0,1,12,,1
5006,"Baker, Ron",Ron Baker,20180123,nyk,gsw,A,20180123-nyk-gsw,22.5,112,123,0,2.05,1,1,3.2,2.75,2.75,3.2,0pt 1rb 1st 1to,0,0,3500,0,3000,0,,,10,0,1,12,,1
5006,"Baker, Ron",Ron Baker,20180121,nyk,lal,A,20180121-nyk-lal,15.5,107,127,0,10.7,1,1,2.7,2.75,2.75,2.7,0pt 1rb 1as,0,0,3500,0,3000,0,,,10,0,1,12,,1
5006,"Baker, Ron",Ron Baker,20180119,nyk,uta,A,20180119-nyk-uta,22.5,117,115,0,13.01666667,1,1,9.4,9,8.5,9.4,2pt 2rb 2as 1st 1to 0-2fg 2-2ft,0,0,3500,0,3000,0,,,10,0,1,12,,1
5006,"Baker, Ron",Ron Baker,20180117,nyk,mem,A,20180117-nyk-mem,20,99,105,0,10.31666667,1,1,2.7,2.75,2,2.7,0pt 1rb 1as 0-3fg,0,0,3500,0,3000,0,,,10,0,1,12,,1
5006,"Baker, Ron",Ron Baker,20180115,nyk,bkn,A,20180115-nyk-bkn,15,119,104,0,26.48333333,1,1,20.3,18,18,20.3,5pt 4rb 1as 3st 1trey 2-4fg,0,0,3500,0,3000,0,,,10,0,1,12,,2
5006,"Baker, Ron",Ron Baker,20180114,nyk,nor,H,20180114-nor-nyk,15.5,118,123,0,0,0,0,0,0,0,0,,0,0,3500,0,3000,0,,,10,0,1,12,,2
5006,"Baker, Ron",Ron Baker,20180112,nyk,min,A,20180112-nyk-min,20,108,118,0,0,0,1,0,0,0,0,,0,0,3500,0,3000,-200,,,10,0,1,12,,2
5006,"Baker, Ron",Ron Baker,20180110,nyk,chi,H,20180110-chi-nyk,19.5,119,122,0,13.03333333,1,1,7.7,8.25,8.25,7.7,5pt 1rb 1as 1trey 2-4fg,0,0,3500,0,3200,0,,,10,0,1,12,,2
